Benchmark Year,Month,Town,Metric,Value
2019,Dec 2020,CANAAN,Unemployed,49
2019,Dec 2020,CANTERBURY,Unemployed,184
2019,Dec 2020,CANTON,Unemployed,318
2019,Dec 2020,CHAPLIN,Unemployed,95
2019,Dec 2020,CHESHIRE,Unemployed,751
2019,Dec 2020,CHESTER,Unemployed,129
2019,Dec 2020,CLINTON,Unemployed,461
2019,Dec 2020,COLCHESTER,Unemployed,531
2019,Dec 2020,COLEBROOK,Unemployed,46
2019,Dec 2020,COLUMBIA,Unemployed,184
2019,Dec 2020,CORNWALL,Unemployed,26
2019,Dec 2020,COVENTRY,Unemployed,428
2019,Dec 2020,CROMWELL,Unemployed,491
2019,Dec 2020,DANBURY,Unemployed,2838
2019,Dec 2020,DARIEN,Unemployed,424
2019,Dec 2020,DEEP RIVER,Unemployed,168
2019,Dec 2020,DERBY,Unemployed,666
2019,Dec 2020,DURHAM,Unemployed,209
2019,Dec 2020,EAST GRANBY,Unemployed,176
2019,Dec 2020,EAST HADDAM,Unemployed,295
2019,Dec 2020,EAST HAMPTON,Unemployed,442
2019,Dec 2020,EAST HARTFORD,Unemployed,2790
2019,Dec 2020,EAST HAVEN,Unemployed,1206
2019,Dec 2020,EAST LYME,Unemployed,604
2019,Dec 2020,EAST WINDSOR,Unemployed,472
2019,Dec 2020,EASTFORD,Unemployed,45
2019,Dec 2020,EASTON,Unemployed,209
2019,Dec 2020,ELLINGTON,Unemployed,537
2019,Dec 2020,ENFIELD,Unemployed,1559
2019,Dec 2020,ESSEX,Unemployed,183
2019,Dec 2020,FAIRFIELD,Unemployed,1726
2019,Dec 2020,FARMINGTON,Unemployed,770
2019,Dec 2020,FRANKLIN,Unemployed,70
2019,Dec 2020,GLASTONBURY,Unemployed,959
2019,Dec 2020,GOSHEN,Unemployed,85
2019,Dec 2020,GRANBY,Unemployed,351
2019,Dec 2020,GREENWICH,Unemployed,1321
2019,Dec 2020,GRISWOLD,Unemployed,545
2019,Dec 2020,GROTON,Unemployed,1324
2019,Dec 2020,GUILFORD,Unemployed,579
2019,Dec 2020,HADDAM,Unemployed,237
2019,Dec 2020,HAMDEN,Unemployed,2383
2019,Dec 2020,HAMPTON,Unemployed,62
2019,Dec 2020,HARTFORD,Unemployed,7064
2019,Dec 2020,HARTLAND,Unemployed,61
2019,Dec 2020,HARWINTON,Unemployed,165
2019,Dec 2020,HEBRON,Unemployed,308
2019,Dec 2020,KENT,Unemployed,70
2019,Dec 2020,KILLINGLY,Unemployed,697
2019,Dec 2020,KILLINGWORTH,Unemployed,203
2019,Dec 2020,LEBANON,Unemployed,283
2019,Dec 2020,LEDYARD,Unemployed,550
2019,Dec 2020,LISBON,Unemployed,207
2019,Dec 2020,LITCHFIELD,Unemployed,262
2019,Dec 2020,LYME,Unemployed,60
2019,Dec 2020,MADISON,Unemployed,449
2019,Dec 2020,MANCHESTER,Unemployed,2616
2019,Dec 2020,MANSFIELD,Unemployed,677
2019,Dec 2020,MARLBOROUGH,Unemployed,222
2019,Dec 2020,MERIDEN,Unemployed,2883
2019,Dec 2020,MIDDLEBURY,Unemployed,232
2019,Dec 2020,MIDDLEFIELD,Unemployed,150
2019,Dec 2020,MIDDLETOWN,Unemployed,1857
2019,Dec 2020,MILFORD,Unemployed,2178
2019,Dec 2020,MONROE,Unemployed,676
2019,Dec 2020,MONTVILLE,Unemployed,686
2019,Dec 2020,MORRIS,Unemployed,86
2019,Dec 2020,NAUGATUCK,Unemployed,1338
2019,Dec 2020,NEW BRITAIN,Unemployed,3950
2019,Dec 2020,NEW CANAAN,Unemployed,385
2019,Dec 2020,NEW FAIRFIELD,Unemployed,385
2019,Dec 2020,NEW HARTFORD,Unemployed,197
2019,Dec 2020,NEW HAVEN,Unemployed,6221
2019,Dec 2020,NEW LONDON,Unemployed,1471
2019,Dec 2020,NEW MILFORD,Unemployed,1100
2019,Dec 2020,NEWINGTON,Unemployed,1087
2019,Dec 2020,NEWTOWN,Unemployed,806
2019,Dec 2020,NORFOLK,Unemployed,180
2019,Dec 2020,NORTH BRANFORD,Unemployed,50
2019,Dec 2020,NORTH CANAAN,Unemployed,430
2019,Dec 2020,NORTH HAVEN,Unemployed,115
2019,Dec 2020,NORTH STONINGTON,Unemployed,803
2019,Dec 2020,NORWALK,Unemployed,3594
2019,Dec 2020,NORWICH,Unemployed,2220
2019,Dec 2020,OLD LYME,Unemployed,213
2019,Dec 2020,OLD SAYBROOK,Unemployed,277
2019,Dec 2020,ORANGE,Unemployed,402
2019,Dec 2020,OXFORD,Unemployed,423
2019,Dec 2020,PLAINFIELD,Unemployed,651
2019,Dec 2020,PLAINVILLE,Unemployed,766
2019,Dec 2020,PLYMOUTH,Unemployed,481
2019,Dec 2020,POMFRET,Unemployed,120
2019,Dec 2020,PORTLAND,Unemployed,350
2019,Dec 2020,PRESTON,Unemployed,233
2019,Dec 2020,PROSPECT,Unemployed,303
2019,Dec 2020,PUTNAM,Unemployed,382
2019,Dec 2020,REDDING,Unemployed,247
2019,Dec 2020,RIDGEFIELD,Unemployed,577
2019,Dec 2020,ROCKY HILL,Unemployed,646
2019,Dec 2020,ROXBURY,Unemployed,65
2019,Dec 2020,SALEM,Unemployed,168
2019,Dec 2020,SALISBURY,Unemployed,79
2019,Dec 2020,SCOTLAND,Unemployed,72
2019,Dec 2020,SEYMOUR,Unemployed,677
2019,Dec 2020,SHARON,Unemployed,64
2019,Dec 2020,SHELTON,Unemployed,1588
2019,Dec 2020,SHERMAN,Unemployed,98
2019,Dec 2020,SIMSBURY,Unemployed,670
2019,Dec 2020,SOMERS,Unemployed,291
2019,Dec 2020,SOUTH WINDSOR,Unemployed,823
2019,Dec 2020,SOUTHBURY,Unemployed,589
2019,Dec 2020,SOUTHINGTON,Unemployed,1458
2019,Dec 2020,SPRAGUE,Unemployed,132
2019,Dec 2020,STAFFORD,Unemployed,477
2019,Dec 2020,STAMFORD,Unemployed,4600
2019,Dec 2020,STERLING,Unemployed,143
2019,Dec 2020,STONINGTON,Unemployed,554
2019,Dec 2020,STRATFORD,Unemployed,2303
2019,Dec 2020,SUFFIELD,Unemployed,430
2019,Dec 2020,THOMASTON,Unemployed,294
2019,Dec 2020,THOMPSON,Unemployed,329
2019,Dec 2020,TOLLAND,Unemployed,407
2019,Dec 2020,TORRINGTON,Unemployed,1610
2019,Dec 2020,TRUMBULL,Unemployed,1155
2019,Dec 2020,UNION,Unemployed,28
2019,Dec 2020,VERNON,Unemployed,1224
2019,Dec 2020,VOLUNTOWN,Unemployed,108
2019,Dec 2020,WALLINGFORD,Unemployed,1616
2019,Dec 2020,WARREN,Unemployed,44
2019,Dec 2020,WASHINGTON,Unemployed,78
2019,Dec 2020,WATERBURY,Unemployed,5857
2019,Dec 2020,WATERFORD,Unemployed,683
2019,Dec 2020,WATERTOWN,Unemployed,838
2019,Dec 2020,WEST HARTFORD,Unemployed,1867
2019,Dec 2020,WEST HAVEN,Unemployed,2462
2019,Dec 2020,WESTBROOK,Unemployed,228
2019,Dec 2020,WESTON,Unemployed,233
2019,Dec 2020,WESTPORT,Unemployed,607
2019,Dec 2020,WETHERSFIELD,Unemployed,864
2019,Dec 2020,WILLINGTON,Unemployed,245
2019,Dec 2020,WILTON,Unemployed,394
2019,Dec 2020,WINCHESTER,Unemployed,465
2019,Dec 2020,WINDHAM,Unemployed,1385
2019,Dec 2020,WINDSOR,Unemployed,1286
2019,Dec 2020,WINDSOR LOCKS,Unemployed,584
2019,Dec 2020,WOLCOTT,Unemployed,649
2019,Dec 2020,WOODBRIDGE,Unemployed,268
2019,Dec 2020,WOODBURY,Unemployed,351
2019,Dec 2020,WOODSTOCK,Unemployed,284
