Benchmark Year,Month,Town,Metric,Value
2019,Dec 2019,OLD LYME,Labor Force,3752
2019,Dec 2019,OLD SAYBROOK,Labor Force,5189
2019,Dec 2019,ORANGE,Labor Force,7483
2019,Dec 2019,OXFORD,Labor Force,7362
2019,Dec 2019,PLAINFIELD,Labor Force,8839
2019,Dec 2019,PLAINVILLE,Labor Force,10681
2019,Dec 2019,PLYMOUTH,Labor Force,6740
2019,Dec 2019,POMFRET,Labor Force,2571
2019,Dec 2019,PORTLAND,Labor Force,5598
2019,Dec 2019,PRESTON,Labor Force,2426
2019,Dec 2019,PROSPECT,Labor Force,5752
2019,Dec 2019,PUTNAM,Labor Force,4906
2019,Dec 2019,REDDING,Labor Force,4446
2019,Dec 2019,RIDGEFIELD,Labor Force,11861
2019,Dec 2019,ROCKY HILL,Labor Force,11877
2019,Dec 2019,ROXBURY,Labor Force,1330
2019,Dec 2019,SALEM,Labor Force,2154
2019,Dec 2019,SALISBURY,Labor Force,1826
2019,Dec 2019,SCOTLAND,Labor Force,989
2019,Dec 2019,SEYMOUR,Labor Force,9034
2019,Dec 2019,SHARON,Labor Force,1495
2019,Dec 2019,SHELTON,Labor Force,22243
2019,Dec 2019,SHERMAN,Labor Force,1880
2019,Dec 2019,SIMSBURY,Labor Force,13997
2019,Dec 2019,SOMERS,Labor Force,5124
2019,Dec 2019,SOUTH WINDSOR,Labor Force,14618
2019,Dec 2019,SOUTHBURY,Labor Force,8824
2019,Dec 2019,SOUTHINGTON,Labor Force,25110
2019,Dec 2019,SPRAGUE,Labor Force,1622
2019,Dec 2019,STAFFORD,Labor Force,6999
2019,Dec 2019,STAMFORD,Labor Force,70964
2019,Dec 2019,STERLING,Labor Force,2069
2019,Dec 2019,STONINGTON,Labor Force,9816
2019,Dec 2019,STRATFORD,Labor Force,27386
2019,Dec 2019,SUFFIELD,Labor Force,7780
2019,Dec 2019,THOMASTON,Labor Force,4814
2019,Dec 2019,THOMPSON,Labor Force,5382
2019,Dec 2019,TOLLAND,Labor Force,8743
2019,Dec 2019,TORRINGTON,Labor Force,19254
2019,Dec 2019,TRUMBULL,Labor Force,17949
2019,Dec 2019,UNION,Labor Force,476
2019,Dec 2019,VERNON,Labor Force,17735
2019,Dec 2019,VOLUNTOWN,Labor Force,1477
2019,Dec 2019,WALLINGFORD,Labor Force,26793
2019,Dec 2019,WARREN,Labor Force,793
2019,Dec 2019,WASHINGTON,Labor Force,2071
2019,Dec 2019,WATERBURY,Labor Force,50906
